Name	Set	ImageFile	Type	Gold	Number	Rarity	Text	Lore
Hercules	02Kingdom	K190	Action	1	190	Common-1	Play on a face up dragon that is immune to dragon slayers.  The dragon is no longer immune to dragon slayers as long as Hercules is on the dragon.  Discard Hercules if dragon is turned face down.	
Pitch	02Kingdom	K191	Battle Action	0	191	Rare-2	The dragon that Pitch is played on loses 2 strength for each fire battle action card played on him instead of gaining strength from the fire cards.  (Ex: Firebreathing, Fireball, etc.)	Pitch is very flammable and will explode when fire gets near it.
Sabra	02Kingdom	K192	Reaction	0	192	Rare-2	Sabra is played in response to the play of St. George.  You get two gold from the gold mine and you get to remove any treasure in play.	Sabra is a princess who married St. George.
King Arthur	02Kingdom	K193	Action	2	193	Rare-2	Any dragon slayer played this turn cannot be countered with a reaction card.	
Illuyankus	02Kingdom	K194	Dragon	1	194	Uncommon-1	STRENGTH: 3 FLYING When Illuyankus is one of the two dragons starting a battle no help is allowed by either side.	Illuyankus is a Dragon from Hittite mythology.
Valley	02Kingdom	K195	Action	1	195	Rare-2	Play this on a face up dragon.  This dragon cannot get or give help for this turn.	
Stream	02Kingdom	K196	Terrain	1	196	Uncommon-1	Dragon's owner must pay one gold piece to the gold mine each of his draw phases that the Stream is on the dragon.	
Gully	02Kingdom	K197	Action	0	197	Common-2	No help is allowed by either side in any battle this turn.	
Castle	02Kingdom	K198	Battle Action	1	198	Rare-2	STRENGTH MODIFIER: +3 You can only play the Castle when you are defending in a battle.	
City	02Kingdom	K199	Action	1	199	Common-2	A dragon of your choice can be turned face down.	
Village	02Kingdom	K200	Action	0	200	Common-2	Remove any one card from a dragon.	
Town	02Kingdom	K201	Action	1	201	Rare-2	You may replace two dragon or terrain cards in your battlefield this turn and still do a dragon slayer action or a battle phase.	
Abbey	02Kingdom	K202	Terrain	2	202	Uncommon-1	This dragon cannot survive a lost battle no matter what cards are played, are in play, or what it says on the dragon.	
Trap	02Kingdom	K203	Terrain	0	203	Uncommon-1	This dragon now belongs to you.  It stays on the Trap in your battlefield.  Pay two gold each of your draw phases to keep dragon.  If trap is removed, or you don't pay, dragon goes back to original owner's battlefield and Trap is discarded.	
Hurricane	02Kingdom	K204	Terrain	0	204	Uncommon-1	Kills any flying dragon.	
Island	02Kingdom	K205	Terrain	0	205	Uncommon-1	Any flying dragon now belongs to you.  Dragon stays on island in your battlefield.  If Island is removed dragon goes back to original owner's battlefield.	
Ruins	02Kingdom	K206	Terrain	1	206	Uncommon-1	If this dragon is turned face down it must be paid for again when it is turned face up.	
Subterranean River	02Kingdom	K207	Action	0	207	Common-1	This dragon is now a subterranean dragon and can attack any card as long as the Subterranean River is on him.  Subterranean River is discarded if dragon is turned face down.	
Subterranean Gold Mine	02Kingdom	K208	Treasure	0	208	Rare-1	All your subterranean dragons gain +1 Strength when attacking.	
Subterranean Lair	02Kingdom	K209	Terrain	0	209	Uncommon-1	Any subterranean dragon is now yours.  The dragon stays on the subterranean lair in your battlefield.  If Lair is removed dragon returns to original owner's battlefield.	
City in the Sky	02Kingdom	K210	Treasure	1	210	Rare-1	All your flying dragons gain +1 strength when attacking.	
Subterranean Tunnels	02Kingdom	K211	Treasure	0	211	Common-2	All your subterranean dragons can now attack any card in the battlefield.	
Dwarven Gold Mine	02Kingdom	K212	Treasure	0	212	Rare-1	Place this card next to an existing treasure position.  This makes a new position for treasure.  You may play any treasure on the Dwarven Gold Mine.  If the Dwarven Gold Mine is removed so is any treasure on it.	
Dragon Man	02Kingdom	K213	Action	2	213	Rare-2	If two dragons of the same name are face up on the battlefield, you decide which one is immediately replaced from the player's dragon lair draw pile.	
Great Library of Ninevah	02Kingdom	K214	Treasure	0	214	Rare-1	You cannot be forced to discard any cards from your hand.	
Hall of Chivalry	02Kingdom	K215	Action	2	215	Rare-2	Put Hall of Chivalry on a face up dragon.  This dragon must attack this turn.  If the dragon can't legally attack then it must be replaced.  Play during opponent's turn.	
Windsock Banner	02Kingdom	K216	Treasure	1	216	Rare-1	All your Archers gain +1 and cannot be stopped by any battle action or reaction cards.	The Windsock Banner is used to help archerrs know which direction the wind is blowing.  It also scares the enemy.
Subterranean Treasure	02Kingdom	K217	Treasure	2	217	Rare-1	Battle Action: All your subterranean dragons can help each other when attacking.	
The Gambler	02Kingdom	K218	Action	0	218	Rare-2	Guess whether you will discover a terrain or dragon when you attack a face down card this turn.  If you are right get two gold from the gold mine.  If you are wrong pay two gold to the gold mine.	
Feast	02Kingdom	K219	Treasure	2	219	Rare-1	All dragons of 4 or more base strength lose two strength for as long as the feast is in play.	Big Dragons tend to eat too much.
Growth Spurt	02Kingdom	K220	Treasure	1	220	Rare-1	All dragons of 2 or less base strength gain +2 strength as long as Growth Spurt is in play.	
Treasure Thief	02Kingdom	K221	Action	2	221	Common-1	Treasure Thief removes all treasures from play.	
Underground Avalanche	02Kingdom	K222	Terrain	2	222	Uncommon-1	STRENGTH MODIFIER: -2 Applies only to subterranean dragons.	
Place Your Bets	02Kingdom	K223	Battle Action	0	223	Rare-2	You are betting one of your gold pieces that you will win this battle.  Opponent must see your bet of one gold piece or concede the battle.  Winner gets both gold pieces.	
All Bets Are Off	02Kingdom	K224	Battle Action	0	224	Rare-2	No gold can be gained or lost as a result of this battle.  This includes gold from treasures, action cards, and dragon abilities.	
Gold Thief	02Kingdom	K225	Action	0	225	Common-2	Take one gold piece from any player's gold pile.	
Catch a Thief	02Kingdom	K226	Reaction	0	226	Common-1	Counters the play of Gold Thief card and gives you one gold piece from opponent's gold pile.  Also counters the play of a Treasure Thief.	
Gold Shortage	02Kingdom	K227	Action	0	227	Common-2	All players take two gold pieces from their gold piles and put them in the gold mine.	
Gold Find	02Kingdom	K228	Action	0	228	Common-2	All players take two gold pieces from the gold mine.	
Steal Strength	02Kingdom	K229	Battle Reaction	1	229	Rare-2	Play in response to a battle action card with the words STRENGTH MODIFIER on it.  You can place the battle action card on a dragon of your choice in this battle.	
Archers	02Kingdom	K230	Battle Action	0	230	Rare-2	STRENGTH MODIFIER: +2 Archers can only be used when defending.  Cannot be played on flying or subterranean dragons.	
Giant Ants	02Kingdom	K231	Battle Action	0	231	Rare-2	STRENGTH MODIFIER: +2 Giant Ants can only be used by subterranean dragons.	
Ravens	02Kingdom	K232	Battle Action	0	232	Rare-2	STRENGTH MODIFIER: +2 Ravens can only be used by flying dragons.	
Fog	02Kingdom	K233	Battle Action	0	233	Rare-2	No Archers can be used in this battle.	
Giant Anteater	02Kingdom	K234	Battle Action	0	234	Rare-2	No Giant Ants can be used in this battle.	
Hawks	02Kingdom	K235	Battle Action	0	235	Rare-2	No Ravens can be used in this battle.	
Frozen Assets	02Kingdom	K236	Action	3	236	Rare-2	Player of your choice cannot spend any more gold on action or battle action cards this turn.	
Lightning	02Kingdom	K237	Action	0	237	Common-1	This dragon is now a flying dragon as long as Lightning is on the dragon.  Lightning is discarded if the dragon is turned face down.	
Help from Beyond	02Kingdom	K238	Battle Action	1	238	Rare-2	Both players add top card from their dragon lair draw pile to battle.  Dragons must be paid for and their strength added.  If terrain affects opponent's dragon, terrain owner gets any gold on terrain card.  All cards drawn are discarded after battle.	
Invisibility	02Kingdom	K239	Action	0	239	Rare-2	All cards starting battle face down stay face down and all battle action cards are played face down.  After all cards are played they are revealed in the order played.  All battle action cards must be paid for even if a terrain card was discovered.	
Ambrosia	02Kingdom	K240	Action	0	240	Common	You may play as many treasures as you want during your action phases this turn.	Ambrosia is the food of the Gods.
Pan	02Kingdom	K241	Action	0	241	Uncommon	Opponent must show you his hand and lose one gold for each dragon slayer action card in his hand that he doesn't discard.	Pan fills men with fears.
Adonis	02Kingdom	K242	Action	2	242	Common	Place Adonis on a face up scout.  This dragon is no longer a scout, and loses all special abilities as long as Adonis is on the dragon.  Discard Adonis if the dragon is turned face down.	Adonis was a handsome young man who was killed by a wild boar.
Minotaur	02Kingdom	K243	Battle Action	1	243	Common	STRENGTH MODIFIER: +4 Can only be played on dragons with a base strength of 2 or less.	
Medusa	02Kingdom	K244	Action	0	244	Uncommon	A player of your choice cannot move any cards in the movement phase of his next turn.	If you look at Medusa you turn to stone.
Chronos	02Kingdom	K245	Treasure	2	245	Uncommon	You go first in all action and battle action phases as long as Chronos is in play.	
Atlantis	02Kingdom	K246	Treasure	2	246	Uncommon	Draw Phase: You may draw card from your dragon lair draw pile and place it under Atlantis.  Battle Phase: If you discard from your battlefield you may replace with a card from Atlantis.  If Atlantis is removed from play, all cards under it are discarded.	
Avalon	02Kingdom	K247	Action	4	247	Uncommon	Place Avalon face up in a vacant battlefield position.  Immediately place the top card from your dragon lair draw pile face down on top of Avalon.  You may not voluntarily replace the card that is on Avalon.  When the card is destroyed, Avalon is discarded.	
Banshee	02Kingdom	K248	Battle Action	0	248	Common	The winner of this battle loses one gold and gets no draw phase next turn.	The Banshee is a spirit that can be heard wailing at the death of a family member to whom it is attached.
Camelot	02Kingdom	K249	Terrain	2	249	Common	Dragon can not be turned face down while in Camelot.	Camelot is the home of King Arthur's Court.
Cyclops	02Kingdom	K250	Battle Action	1	250	Common	All dragons helping one side of this battle run away and are no longer in this battle.	
Dwarf King	02Kingdom	K251	Treasure	1	251	Common	You do not have to show your hand to any player and all actions that require this are countered.	
Fortuna	02Kingdom	K252	Battle Action	0	252	Uncommon	Any strength modifier played during this battle by any player cannot be stopped by a battle action or reaction card.	Fortuna is the Roman Goddess of good luck.
Dragon On Strike	02Kingdom	K253	Action	1	253	Uncommon	Play on a face up dragon.  Dragon's owner must immediately pay two gold to the gold mine or replace the dragon with the top card from his dragon lair draw pile.	
Bribery	02Kingdom	K254	Action	1	254	Uncommon	Play Bribery on a face up dragon.  This dragon may not attack during this turn.	
Sir Galahad	02Kingdom	K255	Dragon Slayer Action Action	2	255	Common	Kills any dragon of 4 or more strength.	Galahad is destined to find the Holy Grail.
Gram	02Kingdom	K256	Battle Action	1	256	Uncommon	The dragon that wins this battle loses 2 strength.  This takes effect after battle for the rest of the game.	Sigurd's sword was forged for him out of fragments of his father's sword.
Hypnos	02Kingdom	K257	Battle Action	3	257	Uncommon	You can force any face up dragon to help on either side of this battle.  Dragon can't already be in the battle.	Hypnos is the god of sleep.
Ida	02Kingdom	K258	Terrain	2	258	Common	Dragon loses all special abilities.	Ida is the mountain in Asai Minor on which Paris gave his fatal judgement, and the highest mountain in Crete where Zeus was reared.
Labyrinth	02Kingdom	K259	Terrain	2	259	Common	The dragon in the Labyrinth can not be replaced by choice.  The dragon can only be replaced if the owner can't legally do anything else.	Daedalus built the Labyrinth for Minos, King of Crete, as a prison for the Minotaur.
Merlin	02Kingdom	K260	Action	0	260	Uncommon	Move any card on a face up dragon in either battlefield to any other face up dragon.	Merlin is a magician in King Arthur's Court.
Midas	02Kingdom	K261	Action	0	261	Uncommon	Discard any dragon from your battlefield and get gold from the gold mine equal to the discarded dragon's strength plus gold symbols.  The dragon is not replaced.	Midas is a King of Phrygia with the famous 'Midas Touch.'
Sirens	02Kingdom	K262	Action	1	262	Common	Play during opponent's turn.  Opponent must attack with a face down dragon if possible.  If he can't attack with a face down dragon, he must replace a card in his battle phase.	Sirens live on an island near Scylla and Charybis and lure men to their death with melodious song.
Tor	02Kingdom	K263	Battle Action	0	263	Uncommon	Treasure of your choice has no effect during this battle.	Tor is a Knight of King Arthur's Round Table.
Valhalla	02Kingdom	K264	Treasure	0	264	Uncommon	Any dragon slayer played by any player costs zero gold to play as long as Valhalla is in play.	Valhalla is the great feasting hall of the castle Gladsheim in Asgard.
Wandering Rocks	02Kingdom	K265	Terrain	1	265	Common	STRENGTH MODIFIER: -1 Wandering Rocks owner can move Wandering Rocks to another face up dragon as an action.	Wandering Rocks were at the entrance to the Hellespont and clashed together when a ship tried to pass between them.
Cricket	02Kingdom	K266	Battle Action	0	266	Common	STRENGTH MODIFIER: +3 Can only be played on a dragon with a base strength of 2 or less.	
Celestial Charger	02Kingdom	K267	Battle Action	2	267	Common	STRENGTH MODIFIER: +5 Can only be played on a dragon with a base strength of 2 or less.	
Panther	02Kingdom	K268	Battle Action	4	268	Rare	STRENGTH MODIFIER: +5	
Puk	02Kingdom	K269	Reaction	0	269	Common	Counters any attempt to destroy or remove a treasure from your battlefield.  When used against a Pick a Treasure attempt the Pick a Treasure is discarded.	Puk is a Baltic Dragon who brings Treasures to the household he is protecting.
Roc	02Kingdom	K270	Battle Action	0	270	Uncommon	The dragon that wins this battle loses one strength for each gold piece you pay to the gold mine.	Roc is an Arabian storm bird who feeds elephants to his young.
Golden Dragon	02Kingdom	K271	Dragon	2	271	Common	STRENGTH: 2 When Golden Dragon wins a battle, you get gold equal to the base strength of the dragon(s) defeated.	The Golden Dragon is the Chinese Dragon King.
Tatsu	02Kingdom	K272	Dragon	1	272	Common	STRENGTH: 0 SCOUT When Tatsu loses a battle you can put a -1 strength counter on any face up dragon.	In Japanese myth, Tatsu is the sign in the Zodiac we know as Leo.
Ri-Riu	02Kingdom	K273	Dragon	1	273	Common	STRENGTH: 0 SCOUT SUPER FLYER Ri-Riu can attack any card.	Ri-Riu can see more than a mile.
Nergal	02Kingdom	K274	Dragon	1	274	Common	STRENGTH: 2 When Nergal wins a battle, you can put a +1 strength counter on any face up dragon.	Nergal is a Babylonian Dragon.
Earthly Naga	02Kingdom	K275	Dragon	2	275	Uncommon	STRENGTH: 0 Earthly Naga gains +1 strength for each terrain card on him.  Ignore all other effects of terrain card except gold symbols.	Earthly Naga is the Indian Dragon that clears out rivers.
Dragon of Exe Valley	02Kingdom	K276	Dragon	2	276	Uncommon	STRENGTH: 1 FLYING When attacking, Dragon of Exe Valley's strength is the number of treasures in play on both sides.	This is an English Dragon who flies across Exe Valley every night to guard Treasure Hordes at Cadbury Castle and Dolbury Hill.
Green Dragon	02Kingdom	K277	Dragon	1	277	Common	STRENGTH: 1 When Green Dragon loses a battle winning dragon loses any special abilities for the rest of the game.	Green Dragon is a Chinese Dragon in Feng-shui myth.
Ambrosia	03Phoenix	p01	Action	0	1	Common	You may play as many treasures as you want during your action phases this turn.	Ambrosia is the food of the Gods.
Nectar	03Phoenix	p02	Treasure	4	2	Uncommon	Draw one extra card during each of your draw phases.	Nectar is the drink of the Gods.
Tortoise	03Phoenix	p03	Hidden Action	0	3	Common	Place face down under one of your face down dragons.  The dragon gains +1 strength when defending as long as the Tortoise is on the dragon.  Can't use on flyers or subterranean dragons.	In Chinese mythology, the Tortoise could not be killed by Dragons and could not kill Dragons.
Crocodile	03Phoenix	p04	Dragon	1	4	Common	STRENGTH: 2 If Crocodile loses battle, winning dragon cannot be turned face down for rest of game.	In many cultures Crocodiles are treated as Dragons.
Elephants	03Phoenix	p05	Hidden Action	0	5	Uncommon	Place  face down and sideways under an opponent's face down card.  If it is under a dragon, the dragon loses 1 strength when attacking as long as Elephants are on the dragon.  Discard the Elephants if under a terrain card.	Elephants crush Dragons as they fall.
Pan	03Phoenix	p06	Action	0	6	Uncommon	Opponent must show you his hand and lose one gold for each dragon slayer action card in his hand that he doesn't discard.	Pan fills men with fears.
Achilles	03Phoenix	p07	Hidden Action	0	7	Uncommon	Place face down and sideways under an opponent's face down card.  If it is under a dragon, that dragon loses 1 strength when defending as long as Achilles is on the dragon.  Discard Achilles if under a terrain card.	Achilles was a Greek hero who was killed when Paris shot him in the heel with a poisoned arrow.
Adonis	03Phoenix	p08	Action	2	8	Common	Place Adonis on a face up scout.  This dragon is no longer a scout, and loses all special abilities as long as Adonis is on the dragon.  Discard Adonis if the dragon is turned face down.	Adonis was a handsome young man who was killed by a wild boar.
Agravain	03Phoenix	p09	Hidden Action	0	9	Uncommon	Place face down and sideways under an opponent's face down card.  If it is under a dragon, that dragon may not be turned face down as long as Agravain is on the dragon.  Discard Agravain if under a terrain card.	A lesser Knight of the Roudn Table who did not like Lancelot.
Ajax	03Phoenix	p10	Reaction	0	10	Common	Ajax counters the play of any intercept action.	Ajax is a giant Greek warrior who fought in the Trojan war.
Amazons	03Phoenix	p11	Hidden Action	0	11	Uncommon	Place face down and sideways under an opponent's face down card.  If it is under terrain, the Amazons add +2 strength modifier to that terrain.  Discard Amazons if under a dragon.	
Hippolyte	03Phoenix	p12	Hidden Action	0	12	Uncommon	Place face down and sideways under an opponent's face down card.  If it is under terrain, the terrain owner gets two gold less from this terrain.  Discard Hippolyte if under a dragon.	
Minotaur	03Phoenix	p13	Battle Action	1	13	Common	STRENGTH MODIFIER: +4 Can only be played on dragons with a base strength of 2 or less.	
Medusa	03Phoenix	p14	Action	0	14	Uncommon	A player of your choice cannot move any cards in the movement phase of his next turn.	If you look at Medusa you turn to stone.
Echo	03Phoenix	p15	Hidden Action	0	15	Common	Place face down under one of your terrains.  If terrain applies to a dragon attacking it, you get two gold pieces in addition to any pieces already on the terrain card.	Echo is forbidden to speak anything but the last syllable of the previous speaker.
Chronos	03Phoenix	p16	Treasure	2	16	Uncommon	You go first in all action and battle phases as long as Chronos is in play.	
Poseidon	03Phoenix	p17	Hidden Action	0	17	Common	Place face down under one of your terrain cards.  Poseidon adds another -2 strength modifier to the terrain.	Poseidon is the god of the sea.
Atlantis	03Phoenix	p18	Treasure	0	18	Uncommon	Draw Phase: You may draw card from your dragon lair draw pile and place it under Atlantis.  Battle Phase: If you discard from your battlefield you may replace with a card from Atlantis.  If Atlantis is removed from play, all cards under it are discarded.	
Atlas	03Phoenix	p19	Battle Reaction	0	19	Uncommon	Battle action or intercept action just played is countered unless owner pays two gold to the gold mine.	
Avalon	03Phoenix	p20	Action	4	20	Uncommon	Place Avalon face up in a vacant battlefield position.  Immediately place the top card from your dragon lair draw pile face down on top of Avalon.  You may not voluntarily replace the card that is on Avalon.  When the card is destroyed, Avalon is discarded.	
Banshee	03Phoenix	p21	Battle Action	0	21	Common	The winner of this battle loses one gold and gets no draw phase next turn.	The Banshee is a spirit that can be heard wailing at the death of a family member to whom it is attached.
Bifrost	03Phoenix	p22	Treasure	1	22	Uncommon	All flying dragons in this row are now super flyers and can attack any card in the battlefield.	The Bifrost is the Rainbow Bridge from Norse mythology that spans the air from Earth to Asgard, the home of the Gods.
Calypso	03Phoenix	p23	Reaction	0	23	Uncommon	Action, reaction, or dragon slayer action is countered unless owner pays two gold to the goldmine.	
Camelot	03Phoenix	p24	Terrain	2	24	Common	Dragon can not be turned face down while in Camelot.	Camelot is the home of King Arthur's Court.
Centaurs	03Phoenix	p25	Action	1	25	Common	Opponent pays one gold to the gold mine for each treasure he has in play.  Any treasure not paid for is removed from play.	
Blinding Light	03Phoenix	p26	Hidden Action	0	26	Common	Place face down under one of your terrain cards.  If a scout destroys the terrain card, the scout loses the ability to scout and any other special ability on the card.	
Cyclops	03Phoenix	p27	Battle Action	1	27	Common	All dragons helping one side of this battle run away and are no longer in this battle.	
Dwarf King	03Phoenix	p28	Treasure	1	28	Common	You do not have to show your hand to any player and all actions that require this are countered.	
Fortuna	03Phoenix	p29	Battle Action	0	29	Uncommon	Any strength modifier played during this battle by any player cannot be stopped by a battle action or reaction card.	Fortuna is the Roman Goddess of good luck.
Inflation	03Phoenix	p30	Treasure	0	30	Uncommon	All dragons cost one more gold as long as Inflation is in play.	
Dragon On Strike	03Phoenix	p31	Action	1	31	Uncommon	Play on a face up dragon.  Dragon's owner must immediately pay two gold to the gold mine or replace the dragon with the top card from his dragon lair draw pile.	
Bribery	03Phoenix	p32	Action	1	32	Uncommon	Play Bribery on a face up dragon.  This dragon may not attack during this turn.	
Price Hike	03Phoenix	p33	Treasure	0	33	Uncommon	All cards from players' hands cost one more gold while price hike is in play.	
Sale	03Phoenix	p34	Treasure	0	34	Uncommon	All cards played from players' hands cost one less gold as long as sale is in play.	
Frey	03Phoenix	p35	Treasure	0	35	Uncommon	In each player's draw phase, the player draws until he has eight cards in his hand.	Frey is the Norse God of fruitfulness and the protector of marriage.
Sir Galahad	03Phoenix	p36	Dragon Slayer Action	2	36	Common	Kills any dragon of 4 or more strength.	Galahad is destined to find the Holy Grail.
Gram	03Phoenix	p37	Battle Action	1	37	Uncommon	The dragon that wins this battle loses 2 strength.  This takes effect after battle for the rest of the game.	Sigurd's sword was forged for him out of fragments of his father's sword.
Harpies	03Phoenix	p38	Hidden Action	0	38	Common	Play Harpies face down under one of your face down flying dragons.  Dragon gains +1 strength when attacking as long as Harpies are on the dragon.	
Hypnos	03Phoenix	p39	Battle Action	3	39	Uncommon	You can force any face up dragon to help on either side of this battle.  Dragon can't already be in the battle.	Hypnos is the god of sleep.
Ida	03Phoenix	p40	Terrain	2	40	Common	Dragon loses all special abilities.	Ida is the mountain in Asia Minor on which Paris gave his fatal judgement, and the highest mountain in Crete where Zeus was reared.
Ishtar	03Phoenix	p41	Action	3	41	Uncommon	You may immediately replace a card in your battlefield with a card of your choice from your dragon lair discard pile.	When her husband Tammuz died, Ishtar descended into the underworld to bring him back.
Labyrinth	03Phoenix	p42	Terrain	2	42	Common	The Dragon in the Labyrinth can not be replaced by choice.  The dragon can only be replaced if the owner can't legally do anything else.	Daedalus built the Labyrinth for Minos, King of Crete, as a prison for the Minotaur.
Merlin	03Phoenix	p43	Action	0	43	Uncommon	Move any card on a face up dragon in either battlefield to any other face up dragon.	Merlin is a magician in King Arthur's Court.
Midas	03Phoenix	p44	Action	0	44	Uncommon	Discard any dragon from your battlefield and get gold from the gold mine equal to the discarded dragon's strength plus gold symbols.  The dragon is not replaced.	Midas is a King of Phrygia with the famouse 'Midas Touch.'
Pandora	03Phoenix	p45	Action	2	45	Uncommon	Switch hands with your opponent for the remainder of this turn.	All the ills of the world are contained in Pandora's box.
Prometheus	03Phoenix	p46	Battle Action	0	46	Uncommon	Opponent must show you his hand and lose one gold for each battle action card in his hand that he doesn't discard.	Prometheus is forever chained and suffering, but remains confident that his cause will triumph.
Sirens	03Phoenix	p47	Action	1	47	Common	Play during opponent's turn.  Opponent must attack with a face down dragon if possible.  If he can't attack with a face down dragon, he must replace a card in his battle phase.	Sirens live on an island near Sclla and Charybis and lure men to their death with melodious song.
Tor	03Phoenix	p48	Battle Action	0	48	Uncommon	Treasure of your choice has no effect during this battle.	Tor is a Knight of King Arthur's Round Table.
Trolls	03Phoenix	p49	Hidden Action	0	49	Common	Place face down under one of your face down subterranean dragons.  The dragon gains +1 strength when attacking as long as the Trolls are on him.	Trolls burst if sunlight touches them.
Valhalla	03Phoenix	p50	Treasure	0	50	Uncommon	Any dragon slayer played by any player costs zero gold to play as long as Valhalla is in play.	Valhalla is the great feasting hall of the castle Gladsheim in Asgard.
Wandering Rocks	03Phoenix	p51	Terrain	1	51	Common	STRENGTH MODIFIER: -1 Wandering Rocks' owner can move Wandering Rocks to another face up dragon as an action.	Wandering Rocks were at the entrance to the Hellespont and clashed together when a ship tried to pass between them.
Trojan Horse	03Phoenix	p52	Treasure	2	52	Rare	Action: Place a battle action card from hand under Trojan Horse.  Battle Action: Play all cards from Trojan Horse at not gold cost.  If Trojan Horse is removed from play, all cards under it are discarded.	
Ape	03Phoenix	p53	Intercept Action	0	53	Uncommon	STRENGTH: 2 INTERCEPTOR Attacker must kill Ape before reaching intended target.  Ape counts as dragon in attacked row.  Discard Ape after battle.	The ancient Egyptians venerate the Ape.
Badger	03Phoenix	p54	Battle Action	2	54	Uncommon	Trade hands with your opponent until the end of this battle.	In Chinese myth, the badger is full of mischief and playfulness.  The badger is a shapeshifter in Japanese myth.
Cricket	03Phoenix	p55	Battle Action	0	55	Common	STRENGTH MODIFIER: +3 Can only be played on a dragon with a base strength of 2 or less.	
Doves	03Phoenix	p56	Battle Action	0	56	Common	If the battle is a tie, it is a draw and both dragons survive.	
Firefly	03Phoenix	p57	Intercept Action	3	57	Uncommon	You can redirect attacking dragon to any card which the dragon can legally attack in your battlefield.	In Japanese myth, spirits can take the form of a firefly.
Golden Grasshopper	03Phoenix	p58	Battle Action	0	58	Uncommon	Whenever this battle is tied, the defender is ahead.	In ancient Greece, the Golden Grasshopper stood for nobility.
Celestial Charger	03Phoenix	p59	Battle Action	2	59	Common	STRENGTH MODIFIER: +5 Can only be played on a dragon with base strength of 2 or less.	
The Pathfinder	03Phoenix	p60	Action	3	60	Rare	Play on a face up dragon.  This dragon is a scout for this turn.  All other dragon abilities remain the same.	
Red Kangaroo	03Phoenix	p61	Reaction	2	61	Uncommon	Intercept action just played is countered and you can destroy any card on the table.	The Red Kangaroo, or Kolakola, is an Australian Aboriginal myth.
Lynx	03Phoenix	p62	Intercept Action	3	62	Uncommon	STRENGTH: 5 INTERCEPTOR Attacker must kill Lynx before reaching intended target.  Lynx counts as dragon in attacked row.  Discard Lynx after battle.	
Mermaid	03Phoenix	p63	Action	1	63	Uncommon	Remove all cards that are attached to other cards in both battlefields.  This includes cards that are attached to treasures.	
Opinicus	03Phoenix	p64	Intercept Action	1	64	Uncommon	STRENGTH: 3 INTERCEPTOR Attacker must kill Opinicus before reaching intended target.  Opinicus counts as dragon in attacked row.  Discard Opinicus after battle.	
Owl	03Phoenix	p65	Action	4	65	Uncommon	Replace one card in your battlefield with any card from your dragon lair draw pile.  Place the new card face down.  Shuffle your dragon lair draw pile after using the Owl.	The owl provides a dual symbol of wisdom and darkness.
Panther	03Phoenix	p66	Battle Action	4	66	Rare	STRENGTH MODIFIER: +5	
Phoenix	03Phoenix	p67	Intercept Action	4	67	Rare	STRENGTH: 6 INTERCEPTOR Attacker must kill Phoenix before reaching intended target.  Phoenix counts as dragon in attacked row.  Discard Phoenix after battle.	
Puk	03Phoenix	p68	Reaction	0	68	Common	Counters any attempt to destroy or remove a treasure from your battlefield.  When used against a Pick a Treasure attempt the Pick a Treasure is discarded.	Puk is a Baltic Dragon who brings Treasures to the household he is protecting.
Roc	03Phoenix	p69	Battle Action	0	69	Uncommon	The dragon that wins this battle loses one strength for each gold piece you pay to the gold mine.	Roc is an Arabian storm bird who feeds elephants to his young.
Seahorse	03Phoenix	p70	Intercept Action	2	70	Uncommon	STRENGTH: 4 INTERCEPTOR Attacker must kill Seahorse before reaching intended target.  Seahorse counts as dragon in attacked row.  Discard Seahorse after battle.	
Tengu	03Phoenix	p71	Battle Action	0	71	Common	If battle ends in a tie, both dragons are killed.  There is no winner or loser.	Tengu is a Japanese Monster demon man-bird.
Golden Dragon	03Phoenix	p72	Dragon	2	72	Common	STRENGTH: 2 When Golden Dragon wins a battle, you get gold equal to the base strength of the dragon(s) defeated.	The Golden Dragon is the Chinese Dragon King.
Violet	03Phoenix	p73	Dragon	1	73	Common	STRENGTH: 2 FLYING Dragons with a base strength of 4 or more lose 2 strength for the rest of a battle in which Violet participates.	Violet is the Japanese Dragon whose spittle becomes pure crystal.
Tatsu	03Phoenix	p74	Dragon	1	74	Common	STRENGTH: 0 SCOUT When Tatsu loses a battle you can put a -1 strength counter on any face up dragon.	In Japanese myth, Tatsu is the sign in the Zodiac we know as Leo.
Sui-Riu	03Phoenix	p75	Dragon	1	75	Common	STRENGTH: 1 When Sui-Riu loses a battle, you can put a -1 strength counter on any face up dragon.	Sui-Rui is the Japanese rain Dragon.
Han-Riu	03Phoenix	p76	Dragon	1	76	Common	STRENGTH: 2 Night cannot be played in a battle in which Han-Riu is participating.	Han-Riu is a 40 foot long Dragon who can never reach heaven.
Ka-Riu	03Phoenix	p77	Dragon	1	77	Common	STRENGTH: 3 Dragons with base strength of 4 or more lose 2 strength for the rest of the battle in which Ka-Riu participates.	
Ri-Riu	03Phoenix	p78	Dragon	1	78	Common	STRENGTH: 0 SCOUT SUPER FLYER Ri-Riu can attack any card.	Ri-Riu can see more than a mile.
Nergal	03Phoenix	p79	Dragon	1	79	Common	STRENGTH: 2 When Nergal wins a battle, you can put a +1 strength counter on any face up dragon.	Nergal is a Babylonian Dragon.
Heavenly Naga	03Phoenix	p80	Dragon	1	80	Common	STRENGTH: 4 When Heavenly Naga is face up, no treasure in this row can be removed by opponent.	Heavenly Naga is the Indian Dragon who guards the Heavenly Palace.
